region	ClusterID	CellType
BLA	0	LA
BLA	5	BA
BLA	10	MBA
BLA	13	ExcNeu_outside_BLA_1
BLA	15	ExcNeu_outside_BLA_2
BLA	12	VGlut2
BLA	7	Sst
BLA	11	Vip
BLA	2	ITC
BLA	1	CEA_1
BLA	6	CEA_2
BLA	17	CEA_3
BLA	14	Inh_1
BLA	16	Inh_2
BLA	18	Inh_3
BLA	19	Inh_4
BLA	3	Olig
BLA	4	Astrocyte
BLA	8	Microglia
BLA	9	OPC
Hippo	0	DG_1
Hippo	8	DG_2
Hippo	1	CA1
Hippo	3	CA3_Kcnq5
Hippo	10	CA3_Col6a1
Hippo	4	Sst
Hippo	9	Vip
Hippo	11	Subiculum_1
Hippo	12	Subiculum_2
Hippo	2	Olig
Hippo	5	Astrocyte_1
Hippo	13	Astrocyte_2
Hippo	6	OPC
Hippo	7	Microglia
Hippo	14	Neu_Olig_contami
Hippo	15	Undetermined_1
Hippo	16	Undetermined_2
Hippo	17	Undetermined_3
Hippo	18	Undetermined_4
