region	ClusterNumber	CellType	clustering	group
BLA	0	Exc_Neu_1	first	
BLA	3	Exc_Neu_2	first	
BLA	7	Exc_Neu_3	first	
BLA	11	Exc_Neu_4	first	
BLA	12	Exc_Neu_5	first	
BLA	14	Exc_Neu_6	first	
BLA	16	Exc_Neu_7	first	
BLA	1	Inh_Neu_1	first	
BLA	2	Inh_Neu_2	first	
BLA	4	Inh_Neu_3	first	
BLA	5	Inh_Neu_4	first	
BLA	10	Inh_Neu_5	first	
BLA	13	Inh_Neu_6	first	
BLA	15	Inh_Neu_7	first	
BLA	6	Glia_1	first	
BLA	8	Glia_2	first	
BLA	9	Glia_3	first	
BLA	17	Glia_4	first	
BLA	18	Glia_5	first	
BLA	19	Glia_6	first	
Hippo	0	Exc_Neu_1	first	
Hippo	2	Exc_Neu_2	first	
Hippo	3	Exc_Neu_3	first	
Hippo	7	Exc_Neu_4	first	
Hippo	10	Exc_Neu_5	first	
Hippo	5	Inh_Neu_1	first	
Hippo	11	Inh_Neu_2	first	
Hippo	12	Inh_Neu_3	first	
Hippo	1	Glia_1	first	
Hippo	4	Glia_2	first	
Hippo	6	Glia_3	first	
Hippo	8	Glia_4	first	
Hippo	9	Glia_5	first	
Hippo	13	undetermined_2	first	
mPFC	0	Exc_Neu_1	first	
mPFC	1	Exc_Neu_2	first	
mPFC	5	Exc_Neu_3	first	
mPFC	7	Exc_Neu_4	first	
mPFC	8	Exc_Neu_5	first	
mPFC	11	Exc_Neu_6	first	
mPFC	2	Inh_Neu_1	first	
mPFC	6	Inh_Neu_2	first	
mPFC	3	Glia_1	first	
mPFC	4	Glia_2	first	
mPFC	9	Glia_3	first	
mPFC	10	Glia_4	first		
BLA	0	LA_Neu_Rorb	second	Exc_Neu
BLA	3	LA_Neu_Chst9	second	Exc_Neu
BLA	1	BA_Neu	second	Exc_Neu
BLA	5	BMA_Neu	second	Exc_Neu
BLA	6	Exc_neu_Pcdh15	second	Exc_Neu
BLA	7	Exc_neu_Cdh18	second	Exc_Neu
BLA	8	Exc_neu_Tafa	second	Exc_Neu
BLA	2	Neu_VGlut2_1	second	Exc_Neu
BLA	9	Neu_VGlut2_2	second	Exc_Neu
BLA	4	LA_Neu_ITC_doublet	second	Exc_Neu
BLA	1	CEA_Inh_Neu_Rarb	second	Inh_Neu
BLA	2	CEA_Inh_Neu_Fign	second	Inh_Neu
BLA	4	CEA_Inh_Neu_Arhgap6	second	Inh_Neu
BLA	8	CEA_Inh_Neu_Ebf1	second	Inh_Neu
BLA	9	CEA_Neu_Sst	second	Inh_Neu
BLA	0	ITC_Neu_Penk_posi	second	Inh_Neu
BLA	5	ITC_Neu_Penk_nega	second	Inh_Neu
BLA	10	BMA_Inh_Neu_Kit	second	Inh_Neu
BLA	13	BMA_Inh_Neu_Thsd7a	second	Inh_Neu
BLA	14	BMA_Inh_Neu_Hcrtr2	second	Inh_Neu
BLA	3	Inh_Neu_Pvalb	second	Inh_Neu
BLA	6	Inh_Vip_Neu	second	Inh_Neu
BLA	7	Inh_Neu_Sst	second	Inh_Neu
BLA	11	Inh_Neu_Lhx8	second	Inh_Neu
BLA	12	Inh_Neu_Cartpt	second	Inh_Neu
BLA	15	undetermined	second	Inh_Neu
BLA	0	OPC	second	Glia
BLA	1	Astrocyte_1	second	Glia
BLA	7	Astrocyte_2	second	Glia
BLA	3	Olig	second	Glia
BLA	5	MG	second	Glia
BLA	6	Ependymal	second	Glia
BLA	2	InhNeu_doublet_1	second	Glia
BLA	4	InhNeu_doublet_2	second	Glia
BLA	8	Astrocyte_OPC_doublet	second	Glia
BLA	9	Astrocyte_Olig_doublet_1	second	Glia
