sample_id	libraries_csv
BLA_OptiPrep_HC_rep1	BLA_OptiPrep_HC_rep1.csv
BLA_OptiPrep_HC_rep2	BLA_OptiPrep_HC_rep2.csv
BLA_OptiPrep_Cond4h_rep1	BLA_OptiPrep_Cond4h_rep1.csv
BLA_OptiPrep_Cond4h_rep2	BLA_OptiPrep_Cond4h_rep2.csv
BLA_FACS_FOS_Cond4h_rep1	BLA_FACS_FOS_Cond4h_rep1.csv
Hippo_OptiPrep_HC_rep1	Hippo_OptiPrep_HC_rep1.csv
Hippo_OptiPrep_HC_rep2	Hippo_OptiPrep_HC_rep2.csv
Hippo_OptiPrep_Cond4h_rep1	Hippo_OptiPrep_Cond4h_rep1.csv
Hippo_OptiPrep_Cond4h_rep2	Hippo_OptiPrep_Cond4h_rep2.csv
Hippo_FACS_FOS_Cond4h_rep1	Hippo_FACS_FOS_Cond4h_rep1.csv
mPFC_OptiPrep_HC_rep1	mPFC_OptiPrep_HC_rep1.csv
mPFC_OptiPrep_HC_rep2	mPFC_OptiPrep_HC_rep2.csv
mPFC_FACS_7AAD_Cond4h_rep1	mPFC_FACS_7AAD_Cond4h_rep1.csv
mPFC_OptiPrep_Cond4h_rep2	mPFC_OptiPrep_Cond4h_rep2.csv
