region	ClusterNumber	CellType
BLA	1	LA
BLA	5	BA_1
BLA	8	BA_2
BLA	2	VGlut2
BLA	10	Sst
BLA	12	Vip
BLA	4	ITC
BLA	6	CEA
BLA	7	Olig
BLA	3	Astrocyte
BLA	11	Microglia
BLA	9	OPC
BLA	0	Undetermined
Hippo	1	DG_1
Hippo	2	DG_2
Hippo	3	CA1
Hippo	4	CA3
Hippo	11	Subiculum
Hippo	8	Inh
Hippo	0	Olig
Hippo	5	Astrocyte
Hippo	7	Microglia
Hippo	9	OPC
Hippo	10	Endothelial
Hippo	6	Undetermined_1
Hippo	12	Undetermined_2
Cortex	0	L2_3_IT
Cortex	2	L4_5_IT
Cortex	8	L5_ET
Cortex	14	L5_NP
Cortex	1	L6_CT
Cortex	3	L6_IT
Cortex	11	Sst_PV_1
Cortex	15	Sst_PV_2
Cortex	10	Vip_1
Cortex	13	Vip_2
Cortex	4	Olig_1
Cortex	12	Olig_2
Cortex	9	OPC
Cortex	5	Astrocyte_1
Cortex	17	Astrocyte_2
Cortex	6	Microglia
Cortex	16	Ependymal
Cortex	7	Undetermined
