region	ClusterNumber	CellType
BLA	12	BA_1
BLA	6	BA_2
BLA	7	BA_LA
BLA	9	LA
BLA	10	BMA
BLA	11	ExcNeu_1
BLA	14	ExcNeu_2
BLA	1	Inh
BLA	2	ITC
BLA	3	CEA_Rarb
BLA	4	CEA_Fign
BLA	0	Astrocyte
BLA	5	OPC_Olig
BLA	13	Microglia
BLA	8	Too_high_Counts
Hippo	3	DG_1
Hippo	0	DG_2
Hippo	7	CA3_1
Hippo	14	CA3_2
Hippo	12	CA1_1
Hippo	1	CA1_2
Hippo	5	Inh
Hippo	4	Subiculum_1
Hippo	8	Subiculum_2
Hippo	9	Subiculum_3
Hippo	11	Subiculum_4
Hippo	2	Astrocyte
Hippo	6	Olig
Hippo	10	OPC
Hippo	13	Too_high_count
mPFC	0	L2_3_IT
mPFC	1	L4_5_IT
mPFC	2	L4_5_IT
mPFC	13	L5_NP
mPFC	3	L6_CT
mPFC	8	L6_ET
mPFC	4	Inh
mPFC	6	Astrocyte
mPFC	7	Olig
mPFC	9	Glia_others
mPFC	5	LowCounts
mPFC	10	Undetermined_1
mPFC	11	Undetermined_2
mPFC	12	Inh_rep1
